trace,capacity,ablation,misses,hit_rate,miss_gap_vs_lru,miss_gap_vs_blind_oracle,miss_gap_vs_predictive_marker,miss_gap_vs_trust_and_doubt,match_lru,match_blind_oracle,match_predictive_marker,gamma_final,fraction_predictor_dominated,fraction_fallback_dominated,rolling_mismatch_rate
data/example_unweighted.json,2,dynamic_default,10,0.0,0,2,2,2,1.0,0.125,0.25,0.8,0.0,1.0,0.0
data/example_unweighted.json,2,fixed_gamma_1,10,0.0,0,2,2,2,1.0,0.125,0.25,1.0,0.0,1.0,0.0
data/example_unweighted.json,2,fixed_gamma_0.5,10,0.0,0,2,2,2,1.0,0.125,0.25,0.5,0.0,1.0,0.0
data/example_unweighted.json,2,fixed_gamma_0,10,0.0,0,2,2,2,1.0,0.125,0.25,0.0,0.0,1.0,0.0
data/example_unweighted.json,2,dynamic_no_confidence,10,0.0,0,2,2,2,1.0,0.125,0.25,0.8,0.0,1.0,0.0
data/example_unweighted.json,2,confidence_only,10,0.0,0,2,2,2,1.0,0.125,0.25,1.0,0.0,1.0,0.0
data/example_unweighted.json,3,dynamic_default,6,0.4,0,1,1,1,1.0,0.0,0.0,0.8,0.0,1.0,0.0
data/example_unweighted.json,3,fixed_gamma_1,6,0.4,0,1,1,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0
data/example_unweighted.json,3,fixed_gamma_0.5,6,0.4,0,1,1,1,1.0,0.0,0.0,0.5,0.0,1.0,0.0
data/example_unweighted.json,3,fixed_gamma_0,6,0.4,0,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
data/example_unweighted.json,3,dynamic_no_confidence,6,0.4,0,1,1,1,1.0,0.0,0.0,0.8,0.0,1.0,0.0
data/example_unweighted.json,3,confidence_only,6,0.4,0,1,1,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0
data/example_unweighted.json,4,dynamic_default,4,0.6,0,0,0,0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
data/example_unweighted.json,4,fixed_gamma_1,4,0.6,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
data/example_unweighted.json,4,fixed_gamma_0.5,4,0.6,0,0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
data/example_unweighted.json,4,fixed_gamma_0,4,0.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/example_unweighted.json,4,dynamic_no_confidence,4,0.6,0,0,0,0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
data/example_unweighted.json,4,confidence_only,4,0.6,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
data/example_atlas_v1.json,2,dynamic_default,8,0.2,-2,-2,-1,-1,0.3333333333333333,0.3333333333333333,0.5,0.9519799999999998,0.8333333333333334,0.16666666666666666,0.0
data/example_atlas_v1.json,2,fixed_gamma_1,8,0.2,-2,-2,-1,-1,0.3333333333333333,0.3333333333333333,0.5,1.0,0.8333333333333334,0.16666666666666666,0.0
data/example_atlas_v1.json,2,fixed_gamma_0.5,10,0.0,0,0,1,1,1.0,0.25,0.75,0.5,0.0,1.0,0.0
data/example_atlas_v1.json,2,fixed_gamma_0,10,0.0,0,0,1,1,1.0,0.25,0.75,0.0,0.0,1.0,0.0
data/example_atlas_v1.json,2,dynamic_no_confidence,10,0.0,0,0,1,1,1.0,0.25,0.75,0.8,0.0,1.0,0.0
data/example_atlas_v1.json,2,confidence_only,8,0.2,-2,-2,-1,-1,0.3333333333333333,0.3333333333333333,0.5,1.0,0.8333333333333334,0.16666666666666666,0.0
data/example_atlas_v1.json,3,dynamic_default,7,0.3,-2,-1,0,1,0.5,0.0,0.25,0.9019999999999999,0.5,0.5,0.0
data/example_atlas_v1.json,3,fixed_gamma_1,7,0.3,-2,-1,0,1,0.5,0.0,0.25,1.0,0.5,0.5,0.0
data/example_atlas_v1.json,3,fixed_gamma_0.5,8,0.2,-1,0,1,2,0.8,0.0,0.0,0.5,0.0,1.0,0.0
data/example_atlas_v1.json,3,fixed_gamma_0,9,0.1,0,1,2,3,1.0,0.0,0.16666666666666666,0.0,0.0,1.0,0.0
data/example_atlas_v1.json,3,dynamic_no_confidence,8,0.2,-1,0,1,2,0.8,0.0,0.0,0.8599999999999999,0.2,0.8,0.0
data/example_atlas_v1.json,3,confidence_only,7,0.3,-2,-1,0,1,0.5,0.0,0.25,1.0,0.5,0.5,0.0
data/example_atlas_v1.json,4,dynamic_default,6,0.4,0,-1,1,1,1.0,0.0,0.0,0.5599999999999999,0.5,0.5,1.0
data/example_atlas_v1.json,4,fixed_gamma_1,6,0.4,0,-1,1,1,1.0,0.0,0.0,1.0,1.0,0.0,1.0
data/example_atlas_v1.json,4,fixed_gamma_0.5,6,0.4,0,-1,1,1,1.0,0.0,0.0,0.5,0.0,1.0,0.0
data/example_atlas_v1.json,4,fixed_gamma_0,6,0.4,0,-1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
data/example_atlas_v1.json,4,dynamic_no_confidence,6,0.4,0,-1,1,1,1.0,0.0,0.0,0.8,0.0,1.0,0.0
data/example_atlas_v1.json,4,confidence_only,6,0.4,0,-1,1,1,1.0,0.0,0.0,1.0,1.0,0.0,1.0
