bucket_spread_summary,candidate_count,capacity,confidence_spread_summary,disagreement_count,evict_value_v1_diff_vs_lru,evict_value_v1_diff_vs_predictive_marker,evict_value_v1_diff_vs_rest_v1,evict_value_v1_diff_vs_trust_and_doubt,evict_value_v1_hit,evict_value_v1_miss,evict_value_v1_score_margin,evict_value_v1_victim,lru_hit,lru_miss,lru_victim,position_bucket,predictive_marker_hit,predictive_marker_miss,predictive_marker_victim,request_bucket,request_confidence,request_page,rest_v1_hit,rest_v1_miss,rest_v1_victim,t,trace_family,trace_name,trust_and_doubt_hit,trust_and_doubt_miss,trust_and_doubt_victim
,2,2,,2,0,1,0,1,0,1,,A,0,1,A,early,0,1,B,,,C,0,1,A,2,legacy,data/example_unweighted.json,0,1,B
,2,2,,2,0,1,0,1,0,1,,B,0,1,B,mid,1,0,,,,A,0,1,B,3,legacy,data/example_unweighted.json,1,0,
,2,2,,0,0,0,0,0,0,1,,C,0,1,C,mid,0,1,C,,,B,0,1,C,4,legacy,data/example_unweighted.json,0,1,C
,2,2,,1,0,0,0,1,0,1,,A,0,1,A,mid,0,1,A,,,D,0,1,A,5,legacy,data/example_unweighted.json,0,1,B
,2,2,,2,0,1,0,1,0,1,,B,0,1,B,late,0,1,D,,,A,0,1,B,6,legacy,data/example_unweighted.json,1,0,
,2,2,,2,0,1,0,1,0,1,,D,0,1,D,late,0,1,B,,,C,0,1,D,7,legacy,data/example_unweighted.json,0,1,A
,2,2,,2,0,1,0,1,0,1,,A,0,1,A,late,0,1,C,,,B,0,1,A,8,legacy,data/example_unweighted.json,0,1,D
,2,2,,2,0,1,0,1,0,1,,C,0,1,C,late,1,0,,,,A,0,1,C,9,legacy,data/example_unweighted.json,0,1,B
,3,3,,2,0,1,0,1,0,1,,C,0,1,C,mid,0,1,B,,,D,0,1,C,5,legacy,data/example_unweighted.json,0,1,B
,3,3,,2,0,1,0,1,0,1,,B,0,1,B,late,1,0,,,,C,0,1,B,7,legacy,data/example_unweighted.json,1,0,
,3,3,,2,0,1,0,1,0,1,,D,0,1,D,late,0,1,C,,,B,0,1,D,8,legacy,data/example_unweighted.json,0,1,C
,2,2,,3,0,1,1,1,0,1,,A,0,1,A,early,0,1,B,3,0.8,C,0,1,B,2,legacy,data/example_atlas_v1.json,0,1,B
,2,2,,3,0,1,1,1,0,1,,B,0,1,B,mid,1,0,,0,0.9,A,1,0,,3,legacy,data/example_atlas_v1.json,1,0,
,2,2,,4,1,1,1,1,0,1,,A,0,1,C,mid,0,1,C,3,0.6,D,0,1,C,4,legacy,data/example_atlas_v1.json,0,1,C
,2,2,,4,1,1,1,1,0,1,,C,0,1,A,mid,0,1,A,2,0.5,B,0,1,D,5,legacy,data/example_atlas_v1.json,0,1,D
,2,2,,3,1,1,0,1,0,1,,B,0,1,D,late,0,1,D,3,0.4,E,0,1,B,6,legacy,data/example_atlas_v1.json,0,1,A
,2,2,,4,1,1,1,1,0,1,,D,0,1,B,late,0,1,B,1,0.8,A,1,0,,7,legacy,data/example_atlas_v1.json,0,1,B
,2,2,,4,1,1,1,1,0,1,,A,0,1,E,late,0,1,E,2,0.6,C,0,1,E,8,legacy,data/example_atlas_v1.json,0,1,E
,2,2,,2,1,1,0,0,0,1,,C,0,1,A,late,0,1,A,3,0.6,B,0,1,C,9,legacy,data/example_atlas_v1.json,0,1,C
,3,3,,4,1,1,1,1,0,1,,A,0,1,B,mid,0,1,C,3,0.6,D,0,1,C,4,legacy,data/example_atlas_v1.json,0,1,C
,3,3,,4,1,1,1,1,0,1,,B,0,1,A,late,0,1,A,3,0.4,E,0,1,D,6,legacy,data/example_atlas_v1.json,0,1,D
,3,3,,4,1,1,1,1,0,1,,C,0,1,D,late,0,1,E,1,0.8,A,1,0,,7,legacy,data/example_atlas_v1.json,1,0,
,3,3,,4,1,1,1,1,0,1,,A,0,1,B,late,0,1,D,2,0.6,C,0,1,E,8,legacy,data/example_atlas_v1.json,0,1,E
,3,3,,4,1,1,1,1,0,1,,C,0,1,E,late,1,0,,3,0.6,B,1,0,,9,legacy,data/example_atlas_v1.json,1,0,
,4,4,,4,1,1,1,1,0,1,,A,0,1,C,late,0,1,D,3,0.4,E,0,1,C,6,legacy,data/example_atlas_v1.json,0,1,D
,4,4,,4,1,1,1,1,0,1,,B,1,0,,late,1,0,,1,0.8,A,1,0,,7,legacy,data/example_atlas_v1.json,1,0,
,4,4,,4,1,1,1,1,0,1,,A,1,0,,late,1,0,,3,0.6,B,1,0,,9,legacy,data/example_atlas_v1.json,1,0,
