decision_id,request_t,h_long,tie_set_size,long_min,long_max,long_spread,tied_set_broken,deterministic_choice,deterministic_long_value,deterministic_is_long_best,deterministic_long_regret,learned_choice,learned_choice_in_h4_tie,learned_long_value,learned_is_long_best,learned_long_regret
brightkite_50k|cap=64|t=10000,10000,8,63,3.0,3.0,0.0,no,faa5b50717b198c973102b168761a5ea,3.0,yes,0.0,ee6b8534a22411dd96da6f185082f76e,no,,,
brightkite_50k|cap=64|t=10000,10000,16,63,6.0,6.0,0.0,no,faa5b50717b198c973102b168761a5ea,6.0,yes,0.0,ee6b8534a22411dd96da6f185082f76e,no,,,
brightkite_50k|cap=64|t=10000,10000,32,63,14.0,14.0,0.0,no,faa5b50717b198c973102b168761a5ea,14.0,yes,0.0,ee6b8534a22411dd96da6f185082f76e,no,,,
brightkite_50k|cap=64|t=10002,10002,8,63,3.0,3.0,0.0,no,7cb704c49fb111dd83a8003048c0801e,3.0,yes,0.0,ee6b8534a22411dd96da6f185082f76e,no,,,
brightkite_50k|cap=64|t=10002,10002,16,63,6.0,6.0,0.0,no,7cb704c49fb111dd83a8003048c0801e,6.0,yes,0.0,ee6b8534a22411dd96da6f185082f76e,no,,,
brightkite_50k|cap=64|t=10002,10002,32,63,13.0,13.0,0.0,no,7cb704c49fb111dd83a8003048c0801e,13.0,yes,0.0,ee6b8534a22411dd96da6f185082f76e,no,,,
brightkite_50k|cap=64|t=10003,10003,8,63,2.0,2.0,0.0,no,9ba7fddab03611ddab95003048c0801e,2.0,yes,0.0,ee6b8534a22411dd96da6f185082f76e,no,,,
brightkite_50k|cap=64|t=10003,10003,16,63,6.0,6.0,0.0,no,9ba7fddab03611ddab95003048c0801e,6.0,yes,0.0,ee6b8534a22411dd96da6f185082f76e,no,,,
brightkite_50k|cap=64|t=10003,10003,32,63,12.0,12.0,0.0,no,9ba7fddab03611ddab95003048c0801e,12.0,yes,0.0,ee6b8534a22411dd96da6f185082f76e,no,,,
brightkite_50k|cap=64|t=10004,10004,8,62,1.0,1.0,0.0,no,fad966dc9aca533903e16dded6151bd5,1.0,yes,0.0,8fde23d6245c11debf73003048c0801e,no,,,
brightkite_50k|cap=64|t=10004,10004,16,62,6.0,6.0,0.0,no,fad966dc9aca533903e16dded6151bd5,6.0,yes,0.0,8fde23d6245c11debf73003048c0801e,no,,,
brightkite_50k|cap=64|t=10004,10004,32,62,11.0,11.0,0.0,no,fad966dc9aca533903e16dded6151bd5,11.0,yes,0.0,8fde23d6245c11debf73003048c0801e,no,,,
brightkite_50k|cap=64|t=10009,10009,8,62,2.0,2.0,0.0,no,71d4227b3373bd865af890f5d4c50067,2.0,yes,0.0,8fde23d6245c11debf73003048c0801e,no,,,
brightkite_50k|cap=64|t=10009,10009,16,62,7.0,7.0,0.0,no,71d4227b3373bd865af890f5d4c50067,7.0,yes,0.0,8fde23d6245c11debf73003048c0801e,no,,,
brightkite_50k|cap=64|t=10009,10009,32,62,14.0,14.0,0.0,no,71d4227b3373bd865af890f5d4c50067,14.0,yes,0.0,8fde23d6245c11debf73003048c0801e,no,,,
brightkite_50k|cap=64|t=10013,10013,8,62,4.0,4.0,0.0,no,cb79da428cfd04917ec730b4409dc8943fcd07cd,4.0,yes,0.0,8fde23d6245c11debf73003048c0801e,no,,,
brightkite_50k|cap=64|t=10013,10013,16,62,8.0,8.0,0.0,no,cb79da428cfd04917ec730b4409dc8943fcd07cd,8.0,yes,0.0,8fde23d6245c11debf73003048c0801e,no,,,
brightkite_50k|cap=64|t=10013,10013,32,62,14.0,14.0,0.0,no,cb79da428cfd04917ec730b4409dc8943fcd07cd,14.0,yes,0.0,8fde23d6245c11debf73003048c0801e,no,,,
