part,trace,capacity,policy,setting,total_cost,total_hits,total_misses,hit_rate,eviction_count,average_lambda,low_confidence_fraction,fallback_dominated_fraction,recent_mismatch_proxy,match_lru_fraction,match_blind_oracle_fraction
unweighted,data/example_unweighted.json,2,lru,default,10.0,0,10,0.0,8,,,,,,
unweighted,data/example_unweighted.json,2,marker,default,10.0,0,10,0.0,8,,,,,,
unweighted,data/example_unweighted.json,2,blind_oracle,default,8.0,2,8,0.2,6,,,,,,
unweighted,data/example_unweighted.json,2,predictive_marker,default,8.0,2,8,0.2,6,,,,,,
unweighted,data/example_unweighted.json,2,trust_and_doubt,default,8.0,2,8,0.2,6,,,,,,
unweighted,data/example_unweighted.json,2,atlas_v1,trace_conf,10.0,0,10,0.0,8,0.5,0.0,1.0,0.0,1.0,0.125
unweighted,data/example_unweighted.json,2,atlas_v1,perfect_conf_1.0,8.0,2,8,0.2,6,1.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666
unweighted,data/example_unweighted.json,2,atlas_v1,perfect_conf_0.5,10.0,0,10,0.0,8,0.5,0.0,1.0,0.0,1.0,0.125
unweighted,data/example_unweighted.json,2,atlas_v1,perfect_conf_0.0,10.0,0,10,0.0,8,0.0,1.0,1.0,0.0,1.0,0.125
unweighted,data/example_unweighted.json,2,atlas_v1,perfect_noise_0.1,10.0,0,10,0.0,8,0.5,0.0,1.0,0.0,1.0,0.125
unweighted,data/example_unweighted.json,2,atlas_v1,perfect_noise_0.3,10.0,0,10,0.0,8,0.5,0.0,1.0,0.0,1.0,0.125
unweighted,data/example_unweighted.json,3,lru,default,6.0,4,6,0.4,3,,,,,,
unweighted,data/example_unweighted.json,3,marker,default,7.0,3,7,0.3,4,,,,,,
unweighted,data/example_unweighted.json,3,blind_oracle,default,5.0,5,5,0.5,2,,,,,,
unweighted,data/example_unweighted.json,3,predictive_marker,default,5.0,5,5,0.5,2,,,,,,
unweighted,data/example_unweighted.json,3,trust_and_doubt,default,5.0,5,5,0.5,2,,,,,,
unweighted,data/example_unweighted.json,3,atlas_v1,trace_conf,6.0,4,6,0.4,3,0.5,0.0,1.0,0.0,1.0,0.0
unweighted,data/example_unweighted.json,3,atlas_v1,perfect_conf_1.0,5.0,5,5,0.5,2,1.0,0.0,0.0,0.0,0.5,0.0
unweighted,data/example_unweighted.json,3,atlas_v1,perfect_conf_0.5,6.0,4,6,0.4,3,0.5,0.0,1.0,0.0,1.0,0.0
unweighted,data/example_unweighted.json,3,atlas_v1,perfect_conf_0.0,6.0,4,6,0.4,3,0.0,1.0,1.0,0.0,1.0,0.0
unweighted,data/example_unweighted.json,3,atlas_v1,perfect_noise_0.1,6.0,4,6,0.4,3,0.5,0.0,1.0,0.0,1.0,0.0
unweighted,data/example_unweighted.json,3,atlas_v1,perfect_noise_0.3,7.0,3,7,0.3,4,0.5,0.0,0.75,0.0,0.5,0.0
unweighted,data/example_unweighted.json,4,lru,default,4.0,6,4,0.6,0,,,,,,
unweighted,data/example_unweighted.json,4,marker,default,4.0,6,4,0.6,0,,,,,,
unweighted,data/example_unweighted.json,4,blind_oracle,default,4.0,6,4,0.6,0,,,,,,
unweighted,data/example_unweighted.json,4,predictive_marker,default,4.0,6,4,0.6,0,,,,,,
unweighted,data/example_unweighted.json,4,trust_and_doubt,default,4.0,6,4,0.6,0,,,,,,
unweighted,data/example_unweighted.json,4,atlas_v1,trace_conf,4.0,6,4,0.6,0,0.0,0.0,0.0,0.0,,
unweighted,data/example_unweighted.json,4,atlas_v1,perfect_conf_1.0,4.0,6,4,0.6,0,0.0,0.0,0.0,0.0,,
unweighted,data/example_unweighted.json,4,atlas_v1,perfect_conf_0.5,4.0,6,4,0.6,0,0.0,0.0,0.0,0.0,,
unweighted,data/example_unweighted.json,4,atlas_v1,perfect_conf_0.0,4.0,6,4,0.6,0,0.0,0.0,0.0,0.0,,
unweighted,data/example_unweighted.json,4,atlas_v1,perfect_noise_0.1,4.0,6,4,0.6,0,0.0,0.0,0.0,0.0,,
unweighted,data/example_unweighted.json,4,atlas_v1,perfect_noise_0.3,4.0,6,4,0.6,0,0.0,0.0,0.0,0.0,,
unweighted,data/example_atlas_v1.json,2,lru,default,10.0,0,10,0.0,8,,,,,,
unweighted,data/example_atlas_v1.json,2,marker,default,10.0,0,10,0.0,8,,,,,,
unweighted,data/example_atlas_v1.json,2,blind_oracle,default,10.0,0,10,0.0,8,,,,,,
unweighted,data/example_atlas_v1.json,2,predictive_marker,default,9.0,1,9,0.1,7,,,,,,
unweighted,data/example_atlas_v1.json,2,trust_and_doubt,default,9.0,1,9,0.1,7,,,,,,
unweighted,data/example_atlas_v1.json,2,atlas_v1,trace_conf,8.0,2,8,0.2,6,0.7333333333333334,0.0,0.16666666666666666,0.6,0.5,0.16666666666666666
unweighted,data/example_atlas_v1.json,2,atlas_v1,perfect_conf_1.0,10.0,0,10,0.0,8,0.675,0.0,0.25,0.0,0.75,0.125
unweighted,data/example_atlas_v1.json,2,atlas_v1,perfect_conf_0.5,10.0,0,10,0.0,8,0.675,0.0,0.25,0.0,0.75,0.125
unweighted,data/example_atlas_v1.json,2,atlas_v1,perfect_conf_0.0,10.0,0,10,0.0,8,0.675,0.0,0.25,0.0,0.75,0.125
unweighted,data/example_atlas_v1.json,2,atlas_v1,perfect_noise_0.1,9.0,1,9,0.1,7,0.6642857142857143,0.0,0.42857142857142855,0.0,0.7142857142857143,0.2857142857142857
unweighted,data/example_atlas_v1.json,2,atlas_v1,perfect_noise_0.3,10.0,0,10,0.0,8,0.675,0.0,0.25,0.2,0.625,0.625
unweighted,data/example_atlas_v1.json,3,lru,default,9.0,1,9,0.1,6,,,,,,
unweighted,data/example_atlas_v1.json,3,marker,default,8.0,2,8,0.2,5,,,,,,
unweighted,data/example_atlas_v1.json,3,blind_oracle,default,8.0,2,8,0.2,5,,,,,,
unweighted,data/example_atlas_v1.json,3,predictive_marker,default,7.0,3,7,0.3,4,,,,,,
unweighted,data/example_atlas_v1.json,3,trust_and_doubt,default,6.0,4,6,0.4,3,,,,,,
unweighted,data/example_atlas_v1.json,3,atlas_v1,trace_conf,7.0,3,7,0.3,4,0.6583333333333333,0.0,0.5,0.6,0.5,0.0
unweighted,data/example_atlas_v1.json,3,atlas_v1,perfect_conf_1.0,7.0,3,7,0.3,4,0.6583333333333333,0.0,0.5,0.0,0.5,0.0
unweighted,data/example_atlas_v1.json,3,atlas_v1,perfect_conf_0.5,7.0,3,7,0.3,4,0.6583333333333333,0.0,0.5,0.0,0.5,0.0
unweighted,data/example_atlas_v1.json,3,atlas_v1,perfect_conf_0.0,7.0,3,7,0.3,4,0.6583333333333333,0.0,0.5,0.0,0.5,0.0
unweighted,data/example_atlas_v1.json,3,atlas_v1,perfect_noise_0.1,8.0,2,8,0.2,5,0.6266666666666667,0.0,0.6,0.0,0.8,0.0
unweighted,data/example_atlas_v1.json,3,atlas_v1,perfect_noise_0.3,8.0,2,8,0.2,5,0.6533333333333333,0.0,0.2,0.2,0.4,0.0
unweighted,data/example_atlas_v1.json,4,lru,default,6.0,4,6,0.4,2,,,,,,
unweighted,data/example_atlas_v1.json,4,marker,default,7.0,3,7,0.3,3,,,,,,
unweighted,data/example_atlas_v1.json,4,blind_oracle,default,7.0,3,7,0.3,3,,,,,,
unweighted,data/example_atlas_v1.json,4,predictive_marker,default,5.0,5,5,0.5,1,,,,,,
unweighted,data/example_atlas_v1.json,4,trust_and_doubt,default,5.0,5,5,0.5,1,,,,,,
unweighted,data/example_atlas_v1.json,4,atlas_v1,trace_conf,6.0,4,6,0.4,2,0.6375,0.0,0.0,0.6,1.0,0.0
unweighted,data/example_atlas_v1.json,4,atlas_v1,perfect_conf_1.0,6.0,4,6,0.4,2,0.6375,0.0,0.0,0.0,1.0,0.0
unweighted,data/example_atlas_v1.json,4,atlas_v1,perfect_conf_0.5,6.0,4,6,0.4,2,0.6375,0.0,0.0,0.0,1.0,0.0
unweighted,data/example_atlas_v1.json,4,atlas_v1,perfect_conf_0.0,6.0,4,6,0.4,2,0.6375,0.0,0.0,0.0,1.0,0.0
unweighted,data/example_atlas_v1.json,4,atlas_v1,perfect_noise_0.1,7.0,3,7,0.3,3,0.625,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
unweighted,data/example_atlas_v1.json,4,atlas_v1,perfect_noise_0.3,7.0,3,7,0.3,3,0.6166666666666667,0.0,0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333
weighted,data/example.json,2,lru,default,19.0,0,10,0.0,8,,,,,,
weighted,data/example.json,2,weighted_lru,default,15.0,1,9,0.1,7,,,,,,
weighted,data/example.json,2,advice_trusting,default,17.0,2,8,0.2,6,,,,,,
weighted,data/example.json,2,la_det,default,14.0,2,8,0.2,6,,,,,,
weighted,data/example.json,3,lru,default,14.0,4,6,0.4,3,,,,,,
weighted,data/example.json,3,weighted_lru,default,9.0,5,5,0.5,2,,,,,,
weighted,data/example.json,3,advice_trusting,default,10.0,5,5,0.5,2,,,,,,
weighted,data/example.json,3,la_det,default,9.0,5,5,0.5,2,,,,,,
weighted,data/example.json,4,lru,default,8.0,6,4,0.6,0,,,,,,
weighted,data/example.json,4,weighted_lru,default,8.0,6,4,0.6,0,,,,,,
weighted,data/example.json,4,advice_trusting,default,8.0,6,4,0.6,0,,,,,,
weighted,data/example.json,4,la_det,default,8.0,6,4,0.6,0,,,,,,
