seed,decision_key,family,capacity,is_disagreement,gain_regret_heur_minus_teacher
0,data/example.json|c2|t2,data,2,1,1.0
0,data/example.json|c2|t3,data,2,1,0.0
0,data/example.json|c2|t4,data,2,1,0.0
0,data/example.json|c2|t5,data,2,1,1.0
0,data/example.json|c2|t6,data,2,1,-2.0
0,data/example.json|c2|t7,data,2,1,0.0
0,data/example.json|c2|t8,data,2,0,-1.0
0,data/example.json|c2|t9,data,2,0,0.0
0,data/example.json|c3|t5,data,3,1,-2.0
0,data/example.json|c3|t7,data,3,0,-2.0
0,data/example.json|c3|t8,data,3,0,0.0
0,data/example_unweighted.json|c2|t2,data,2,1,0.0
0,data/example_unweighted.json|c2|t3,data,2,0,-1.0
0,data/example_unweighted.json|c2|t4,data,2,0,0.0
0,data/example_unweighted.json|c2|t5,data,2,0,-1.0
0,data/example_unweighted.json|c2|t6,data,2,0,0.0
0,data/example_unweighted.json|c2|t7,data,2,1,0.0
0,data/example_unweighted.json|c2|t8,data,2,0,-1.0
0,data/example_unweighted.json|c2|t9,data,2,0,0.0
0,data/example_unweighted.json|c3|t5,data,3,1,0.0
0,data/example_unweighted.json|c3|t7,data,3,0,-1.0
0,data/example_unweighted.json|c3|t8,data,3,0,0.0
1,data/example.json|c2|t2,data,2,1,1.0
1,data/example.json|c2|t3,data,2,1,0.0
1,data/example.json|c2|t4,data,2,1,0.0
1,data/example.json|c2|t5,data,2,1,1.0
1,data/example.json|c2|t6,data,2,1,-2.0
1,data/example.json|c2|t7,data,2,1,0.0
1,data/example.json|c2|t8,data,2,0,-1.0
1,data/example.json|c2|t9,data,2,0,0.0
1,data/example.json|c3|t5,data,3,1,-2.0
1,data/example.json|c3|t7,data,3,0,-2.0
1,data/example.json|c3|t8,data,3,0,0.0
1,data/example_unweighted.json|c2|t2,data,2,1,0.0
1,data/example_unweighted.json|c2|t3,data,2,0,-1.0
1,data/example_unweighted.json|c2|t4,data,2,0,0.0
1,data/example_unweighted.json|c2|t5,data,2,0,-1.0
1,data/example_unweighted.json|c2|t6,data,2,0,0.0
1,data/example_unweighted.json|c2|t7,data,2,1,0.0
1,data/example_unweighted.json|c2|t8,data,2,0,-1.0
1,data/example_unweighted.json|c2|t9,data,2,0,0.0
1,data/example_unweighted.json|c3|t5,data,3,1,0.0
1,data/example_unweighted.json|c3|t7,data,3,0,-1.0
1,data/example_unweighted.json|c3|t8,data,3,0,0.0
3,data/example_atlas_v1.json|c2|t2,data,2,1,0.0
3,data/example_atlas_v1.json|c2|t3,data,2,1,-1.0
3,data/example_atlas_v1.json|c2|t4,data,2,0,0.0
3,data/example_atlas_v1.json|c2|t5,data,2,0,0.0
3,data/example_atlas_v1.json|c2|t6,data,2,1,0.0
3,data/example_atlas_v1.json|c2|t7,data,2,1,-1.0
3,data/example_atlas_v1.json|c2|t8,data,2,0,0.0
3,data/example_atlas_v1.json|c2|t9,data,2,0,0.0
3,data/example_atlas_v1.json|c3|t4,data,3,0,-1.0
3,data/example_atlas_v1.json|c3|t5,data,3,1,0.0
3,data/example_atlas_v1.json|c3|t6,data,3,1,0.0
3,data/example_atlas_v1.json|c3|t7,data,3,1,0.0
3,data/example_atlas_v1.json|c3|t8,data,3,0,0.0
3,data/example_atlas_v1.json|c3|t9,data,3,0,0.0
3,data/example_atlas_v1.json|c4|t6,data,4,0,0.0
3,data/example_atlas_v1.json|c4|t8,data,4,0,0.0
