seed,model_family,label_source,split,rows,mae,rmse,decision_count,top1_candidate_accuracy,mean_chosen_regret,mean_regret_vs_best
0,ridge,heuristic,train,46,0.23912214801693574,0.29846210324715633,18.0,0.4444444444444444,0.0,0.0
0,ridge,heuristic,val,0,0.0,0.0,0.0,0.0,0.0,0.0
0,ridge,heuristic,test,50,0.3366857455461358,0.4391327321777739,22.0,0.7272727272727273,0.0,0.0
0,ridge,offline_teacher,train,60,0.5239459448375549,0.7375505020695914,32.0,0.6875,0.0625,0.0625
0,ridge,offline_teacher,val,0,0.0,0.0,0.0,0.0,0.0,0.0
0,ridge,offline_teacher,test,50,1.8725180638654109,2.2017885515570583,22.0,0.3181818181818182,0.6363636363636364,0.6363636363636364
1,ridge,heuristic,train,46,0.23912214801693574,0.29846210324715633,18.0,0.4444444444444444,0.0,0.0
1,ridge,heuristic,val,0,0.0,0.0,0.0,0.0,0.0,0.0
1,ridge,heuristic,test,50,0.3366857455461358,0.4391327321777739,22.0,0.7272727272727273,0.0,0.0
1,ridge,offline_teacher,train,60,0.5239459448375549,0.7375505020695914,32.0,0.6875,0.0625,0.0625
1,ridge,offline_teacher,val,0,0.0,0.0,0.0,0.0,0.0,0.0
1,ridge,offline_teacher,test,50,1.8725180638654109,2.2017885515570583,22.0,0.3181818181818182,0.6363636363636364,0.6363636363636364
2,ridge,heuristic,train,29,0.2817193943939602,0.3392039776522305,13.0,0.8461538461538461,0.0,0.0
2,ridge,heuristic,val,67,0.3618278731305538,0.4555808757142109,27.0,0.6296296296296297,0.0,0.0
2,ridge,heuristic,test,0,0.0,0.0,0.0,0.0,0.0,0.0
2,ridge,offline_teacher,train,43,0.5500532910204906,0.8185559758365314,27.0,0.7777777777777778,0.1111111111111111,0.1111111111111111
2,ridge,offline_teacher,val,67,1.173687004546013,1.6509183627835922,27.0,0.4074074074074074,0.4074074074074074,0.4074074074074074
2,ridge,offline_teacher,test,0,0.0,0.0,0.0,0.0,0.0,0.0
3,ridge,heuristic,train,50,0.29662797201260405,0.34276390139497936,22.0,0.8181818181818182,0.0,0.0
3,ridge,heuristic,val,4,0.41577279858746596,0.43198247935472905,2.0,1.0,0.0,0.0
3,ridge,heuristic,test,42,0.44021199712153847,0.5629882691767119,16.0,0.5,0.0,0.0
3,ridge,offline_teacher,train,50,0.4768173946086459,0.6215264515813981,22.0,0.6818181818181818,0.18181818181818182,0.18181818181818182
3,ridge,offline_teacher,val,18,1.8206509729341032,2.4106781607885717,16.0,1.0,0.0,0.0
3,ridge,offline_teacher,test,42,0.5329579200963924,0.6313117289859328,16.0,0.375,0.3125,0.3125
4,ridge,heuristic,train,96,0.278544443433083,0.33846672617351353,40.0,0.65,0.0,0.0
4,ridge,heuristic,val,0,0.0,0.0,0.0,0.0,0.0,0.0
4,ridge,heuristic,test,0,0.0,0.0,0.0,0.0,0.0,0.0
4,ridge,offline_teacher,train,110,0.5731232650652197,0.8372354462238466,54.0,0.6666666666666666,0.2037037037037037,0.2037037037037037
4,ridge,offline_teacher,val,0,0.0,0.0,0.0,0.0,0.0,0.0
4,ridge,offline_teacher,test,0,0.0,0.0,0.0,0.0,0.0,0.0
