seed,model_family,label_source,trace,family,capacity,rank,policy_misses,delta_misses_vs_lru
0,ridge,heuristic,data/example.json,data,2,1,7,-3
0,ridge,offline_teacher,data/example.json,data,2,2,10,0
0,ridge,heuristic,data/example.json,data,3,1,5,-1
0,ridge,offline_teacher,data/example.json,data,3,2,6,0
0,ridge,heuristic,data/example.json,data,4,1,4,0
0,ridge,offline_teacher,data/example.json,data,4,2,4,0
0,ridge,heuristic,data/example.json,data,5,1,4,0
0,ridge,offline_teacher,data/example.json,data,5,2,4,0
0,ridge,heuristic,data/example_unweighted.json,data,2,1,7,-3
0,ridge,offline_teacher,data/example_unweighted.json,data,2,2,10,0
0,ridge,heuristic,data/example_unweighted.json,data,3,1,5,-1
0,ridge,offline_teacher,data/example_unweighted.json,data,3,2,6,0
0,ridge,heuristic,data/example_unweighted.json,data,4,1,4,0
0,ridge,offline_teacher,data/example_unweighted.json,data,4,2,4,0
0,ridge,heuristic,data/example_unweighted.json,data,5,1,4,0
0,ridge,offline_teacher,data/example_unweighted.json,data,5,2,4,0
1,ridge,heuristic,data/example.json,data,2,1,7,-3
1,ridge,offline_teacher,data/example.json,data,2,2,10,0
1,ridge,heuristic,data/example.json,data,3,1,5,-1
1,ridge,offline_teacher,data/example.json,data,3,2,6,0
1,ridge,heuristic,data/example.json,data,4,1,4,0
1,ridge,offline_teacher,data/example.json,data,4,2,4,0
1,ridge,heuristic,data/example.json,data,5,1,4,0
1,ridge,offline_teacher,data/example.json,data,5,2,4,0
1,ridge,heuristic,data/example_unweighted.json,data,2,1,7,-3
1,ridge,offline_teacher,data/example_unweighted.json,data,2,2,10,0
1,ridge,heuristic,data/example_unweighted.json,data,3,1,5,-1
1,ridge,offline_teacher,data/example_unweighted.json,data,3,2,6,0
1,ridge,heuristic,data/example_unweighted.json,data,4,1,4,0
1,ridge,offline_teacher,data/example_unweighted.json,data,4,2,4,0
1,ridge,heuristic,data/example_unweighted.json,data,5,1,4,0
1,ridge,offline_teacher,data/example_unweighted.json,data,5,2,4,0
3,ridge,heuristic,data/example_atlas_v1.json,data,2,1,8,-2
3,ridge,offline_teacher,data/example_atlas_v1.json,data,2,2,9,-1
3,ridge,heuristic,data/example_atlas_v1.json,data,3,1,6,-3
3,ridge,offline_teacher,data/example_atlas_v1.json,data,3,2,7,-2
3,ridge,heuristic,data/example_atlas_v1.json,data,4,1,5,-1
3,ridge,offline_teacher,data/example_atlas_v1.json,data,4,2,5,-1
3,ridge,heuristic,data/example_atlas_v1.json,data,5,1,5,0
3,ridge,offline_teacher,data/example_atlas_v1.json,data,5,2,5,0
