seed,model_family,label_source,split,rows,mae,rmse,decision_count,top1_candidate_accuracy,mean_chosen_regret,mean_regret_vs_best
0,random_forest,heuristic,train,46,0.19436296583850932,0.24612748160454276,18.0,0.3888888888888889,0.0,0.0
0,random_forest,heuristic,val,0,0.0,0.0,0.0,0.0,0.0,0.0
0,random_forest,heuristic,test,50,0.42470761904761906,0.50158991772851,22.0,0.2727272727272727,0.45454545454545453,0.45454545454545453
0,random_forest,offline_teacher,train,60,0.35791785714285723,0.9148184669230663,32.0,0.71875,0.0,0.0
0,random_forest,offline_teacher,val,0,0.0,0.0,0.0,0.0,0.0,0.0
0,random_forest,offline_teacher,test,50,0.48810000000000003,0.7831216114584844,22.0,0.5909090909090909,0.5,0.5
1,random_forest,heuristic,train,46,0.18686076604554866,0.23521536722460534,18.0,0.3888888888888889,0.0,0.0
1,random_forest,heuristic,val,0,0.0,0.0,0.0,0.0,0.0,0.0
1,random_forest,heuristic,test,50,0.40192666666666665,0.4975070937517708,22.0,0.2727272727272727,0.45454545454545453,0.45454545454545453
1,random_forest,offline_teacher,train,60,0.34714742063492054,0.9067412429143971,32.0,0.71875,0.0,0.0
1,random_forest,offline_teacher,val,0,0.0,0.0,0.0,0.0,0.0,0.0
1,random_forest,offline_teacher,test,50,0.5051000000000001,0.769691009431707,22.0,0.3181818181818182,0.5909090909090909,0.5909090909090909
2,random_forest,heuristic,train,29,0.19770633676668156,0.29721135728792053,13.0,0.8461538461538461,0.07692307692307693,0.07692307692307693
2,random_forest,heuristic,val,67,0.2795949608020504,0.40446056996553115,27.0,0.6296296296296297,0.037037037037037035,0.037037037037037035
2,random_forest,heuristic,test,0,0.0,0.0,0.0,0.0,0.0,0.0
2,random_forest,offline_teacher,train,43,0.35382057477406315,0.8419149448766117,27.0,0.8148148148148148,0.0,0.0
2,random_forest,offline_teacher,val,67,0.776050249501742,1.4634230280708882,27.0,0.37037037037037035,0.2962962962962963,0.2962962962962963
2,random_forest,offline_teacher,test,0,0.0,0.0,0.0,0.0,0.0,0.0
3,random_forest,heuristic,train,50,0.13960952380952382,0.228277664306629,22.0,0.9090909090909091,0.0,0.0
3,random_forest,heuristic,val,4,0.3169370039682541,0.34311140503750387,2.0,1.0,0.0,0.0
3,random_forest,heuristic,test,42,0.29491794217687073,0.42773526699174175,16.0,0.5,0.0,0.0
3,random_forest,offline_teacher,train,50,0.33916629870129866,0.5190537635673026,22.0,0.8636363636363636,0.045454545454545456,0.045454545454545456
3,random_forest,offline_teacher,val,18,1.5212971881513546,2.767412505655189,16.0,0.875,1.0625,1.0625
3,random_forest,offline_teacher,test,42,0.37964388356352646,0.48793383631470805,16.0,0.375,0.0625,0.0625
4,random_forest,heuristic,train,96,0.13226764482623857,0.2120680706073091,40.0,0.7,0.0,0.0
4,random_forest,heuristic,val,0,0.0,0.0,0.0,0.0,0.0,0.0
4,random_forest,heuristic,test,0,0.0,0.0,0.0,0.0,0.0,0.0
4,random_forest,offline_teacher,train,110,0.34904776334776333,0.7478187911793553,54.0,0.7592592592592593,0.018518518518518517,0.018518518518518517
4,random_forest,offline_teacher,val,0,0.0,0.0,0.0,0.0,0.0,0.0
4,random_forest,offline_teacher,test,0,0.0,0.0,0.0,0.0,0.0,0.0
