job_label,instance_id,mode,ranking_mode,k,trace_len,trace,lemma,chain_id,phase,damage_D,I_size,lemma1_chain_monotone,lemma2_head_bound,head_victim_e1,head_stale_set,I_set,a_values
campaign_r1_task13_random,1,random,adv_bias,8,88,"p0,p0,p7,p0,p0,p9,p0,p9,p0,p7,p2,p7,p9,p15,p13,p2,p15,p16,p8,p15,p17,p16,p15,p3,p10,p7,p10,p15,p16,p2,p7,p8,p7,p15,p17,p7,p4,p7,p4,p0,p3,p5,p4,p4,p11,p16,p7,p4,p4,p4,p6,p4,p10,p6,p4,p4,p4,p11,p4,p9,p11,p4,p9,p16,p4,p7,p6,p9,p6,p7,p2,p9,p9,p6,p4,p9,p9,p14,p6,p5,p12,p2,p5,p13,p16,p5,p2,p6",lemma1_chain_monotone,ph4_c0,4,2,0,False,False,p17,"p17,p3,p8",,"1000000000000,1000000000000"
campaign_r1_task13_random,1,random,adv_bias,8,88,"p0,p0,p7,p0,p0,p9,p0,p9,p0,p7,p2,p7,p9,p15,p13,p2,p15,p16,p8,p15,p17,p16,p15,p3,p10,p7,p10,p15,p16,p2,p7,p8,p7,p15,p17,p7,p4,p7,p4,p0,p3,p5,p4,p4,p11,p16,p7,p4,p4,p4,p6,p4,p10,p6,p4,p4,p4,p11,p4,p9,p11,p4,p9,p16,p4,p7,p6,p9,p6,p7,p2,p9,p9,p6,p4,p9,p9,p14,p6,p5,p12,p2,p5,p13,p16,p5,p2,p6",lemma2_head_bound,ph4_c0,4,2,0,False,False,p17,"p17,p3,p8",,"1000000000000,1000000000000"
campaign_r1_task13_random,2,random,adv_bias,3,24,"p0,p2,p2,p0,p4,p0,p3,p1,p3,p3,p4,p1,p0,p0,p3,p1,p1,p1,p2,p0,p1,p4,p3,p3",lemma1_chain_monotone,ph3_c0,3,2,0,False,False,p3,"p3,p4",,"3,1"
campaign_r1_task13_random,2,random,adv_bias,3,24,"p0,p2,p2,p0,p4,p0,p3,p1,p3,p3,p4,p1,p0,p0,p3,p1,p1,p1,p2,p0,p1,p4,p3,p3",lemma2_head_bound,ph3_c0,3,2,0,False,False,p3,"p3,p4",,"3,1"
campaign_r1_task13_random,17,random,near_tie,5,56,"p3,p3,p3,p9,p11,p2,p11,p0,p10,p11,p11,p5,p11,p5,p11,p4,p10,p9,p4,p11,p10,p5,p8,p11,p6,p11,p11,p11,p11,p11,p11,p11,p11,p11,p11,p11,p11,p11,p11,p11,p11,p11,p0,p1,p11,p11,p6,p11,p11,p11,p11,p11,p11,p11,p10,p6",lemma1_chain_monotone,ph1_c0,1,2,0,False,False,p3,"p0,p3,p9",,"1000000000000,27"
campaign_r1_task13_random,17,random,near_tie,5,56,"p3,p3,p3,p9,p11,p2,p11,p0,p10,p11,p11,p5,p11,p5,p11,p4,p10,p9,p4,p11,p10,p5,p8,p11,p6,p11,p11,p11,p11,p11,p11,p11,p11,p11,p11,p11,p11,p11,p11,p11,p11,p11,p0,p1,p11,p11,p6,p11,p11,p11,p11,p11,p11,p11,p10,p6",lemma2_head_bound,ph1_c0,1,2,0,False,False,p3,"p0,p3,p9",,"1000000000000,27"
campaign_r1_task13_random,24,random,adv_bias,3,26,"p1,p4,p0,p4,p0,p3,p2,p1,p0,p3,p2,p2,p2,p1,p0,p3,p0,p0,p2,p0,p2,p4,p0,p2,p1,p3",lemma1_chain_monotone,ph4_c0,4,2,1,False,True,p1,"p1,p3",p3,"2,2"
campaign_r1_task13_random,25,random,adv_bias,2,22,"p2,p2,p2,p4,p0,p2,p2,p1,p0,p2,p0,p4,p3,p3,p3,p3,p3,p4,p0,p3,p3,p3",lemma1_chain_monotone,ph5_c0,5,2,0,False,False,p2,p2,,"1000000000000,1000000000000"
campaign_r1_task13_random,25,random,adv_bias,2,22,"p2,p2,p2,p4,p0,p2,p2,p1,p0,p2,p0,p4,p3,p3,p3,p3,p3,p4,p0,p3,p3,p3",lemma2_head_bound,ph5_c0,5,2,0,False,False,p2,p2,,"1000000000000,1000000000000"
campaign_r1_task13_random,26,random,adv_bias,4,30,"p2,p2,p1,p2,p1,p2,p1,p1,p2,p7,p2,p1,p1,p1,p1,p1,p2,p6,p3,p6,p0,p1,p7,p3,p3,p6,p2,p6,p3,p3",lemma1_chain_monotone,ph2_c0,2,2,0,False,False,p2,p2,,"4,2"
campaign_r1_task13_random,26,random,adv_bias,4,30,"p2,p2,p1,p2,p1,p2,p1,p1,p2,p7,p2,p1,p1,p1,p1,p1,p2,p6,p3,p6,p0,p1,p7,p3,p3,p6,p2,p6,p3,p3",lemma2_head_bound,ph2_c0,2,2,0,False,False,p2,p2,,"4,2"
campaign_r1_task13_random,32,random,near_tie,5,75,"p3,p3,p7,p4,p3,p3,p4,p3,p0,p0,p4,p4,p1,p1,p0,p0,p0,p0,p1,p1,p4,p2,p1,p1,p1,p3,p4,p1,p1,p2,p2,p0,p0,p8,p8,p0,p4,p1,p4,p4,p4,p4,p0,p8,p8,p4,p4,p4,p9,p4,p5,p8,p7,p8,p8,p5,p4,p7,p4,p3,p8,p3,p7,p7,p3,p3,p1,p1,p9,p7,p2,p2,p0,p0,p9",lemma1_chain_monotone,ph4_c0,4,2,0,False,False,p5,"p4,p5,p8",,"1000000000000,1000000000000"
campaign_r1_task13_random,32,random,near_tie,5,75,"p3,p3,p7,p4,p3,p3,p4,p3,p0,p0,p4,p4,p1,p1,p0,p0,p0,p0,p1,p1,p4,p2,p1,p1,p1,p3,p4,p1,p1,p2,p2,p0,p0,p8,p8,p0,p4,p1,p4,p4,p4,p4,p0,p8,p8,p4,p4,p4,p9,p4,p5,p8,p7,p8,p8,p5,p4,p7,p4,p3,p8,p3,p7,p7,p3,p3,p1,p1,p9,p7,p2,p2,p0,p0,p9",lemma2_head_bound,ph4_c0,4,2,0,False,False,p5,"p4,p5,p8",,"1000000000000,1000000000000"
campaign_r1_task13_random,44,random,adv_bias,8,124,"p6,p6,p6,p0,p7,p0,p0,p6,p4,p9,p0,p8,p0,p6,p0,p4,p4,p1,p6,p8,p0,p1,p2,p4,p2,p6,p5,p1,p5,p0,p9,p6,p1,p0,p0,p0,p8,p2,p4,p2,p0,p3,p5,p8,p0,p0,p5,p0,p0,p2,p8,p0,p4,p9,p4,p4,p4,p6,p4,p8,p3,p0,p3,p4,p4,p4,p7,p2,p4,p2,p4,p4,p4,p4,p4,p4,p0,p0,p6,p6,p4,p0,p5,p3,p6,p4,p6,p8,p2,p7,p3,p6,p5,p0,p0,p5,p0,p9,p8,p4,p8,p0,p2,p2,p5,p7,p9,p0,p5,p0,p0,p5,p0,p1,p0,p7,p6,p5,p1,p0,p7,p0,p0,p0",lemma1_chain_monotone,ph1_c1,1,3,3,False,True,p8,"p2,p4,p7,p8","p2,p4,p7","3,1,1"
campaign_r1_task13_random,44,random,adv_bias,8,124,"p6,p6,p6,p0,p7,p0,p0,p6,p4,p9,p0,p8,p0,p6,p0,p4,p4,p1,p6,p8,p0,p1,p2,p4,p2,p6,p5,p1,p5,p0,p9,p6,p1,p0,p0,p0,p8,p2,p4,p2,p0,p3,p5,p8,p0,p0,p5,p0,p0,p2,p8,p0,p4,p9,p4,p4,p4,p6,p4,p8,p3,p0,p3,p4,p4,p4,p7,p2,p4,p2,p4,p4,p4,p4,p4,p4,p0,p0,p6,p6,p4,p0,p5,p3,p6,p4,p6,p8,p2,p7,p3,p6,p5,p0,p0,p5,p0,p9,p8,p4,p8,p0,p2,p2,p5,p7,p9,p0,p5,p0,p0,p5,p0,p1,p0,p7,p6,p5,p1,p0,p7,p0,p0,p0",lemma1_chain_monotone,ph3_c2,3,2,4,False,True,p5,"p1,p3,p5,p8,p9","p1,p3,p8,p9","2,2"
campaign_r1_task13_random,44,random,adv_bias,8,124,"p6,p6,p6,p0,p7,p0,p0,p6,p4,p9,p0,p8,p0,p6,p0,p4,p4,p1,p6,p8,p0,p1,p2,p4,p2,p6,p5,p1,p5,p0,p9,p6,p1,p0,p0,p0,p8,p2,p4,p2,p0,p3,p5,p8,p0,p0,p5,p0,p0,p2,p8,p0,p4,p9,p4,p4,p4,p6,p4,p8,p3,p0,p3,p4,p4,p4,p7,p2,p4,p2,p4,p4,p4,p4,p4,p4,p0,p0,p6,p6,p4,p0,p5,p3,p6,p4,p6,p8,p2,p7,p3,p6,p5,p0,p0,p5,p0,p9,p8,p4,p8,p0,p2,p2,p5,p7,p9,p0,p5,p0,p0,p5,p0,p1,p0,p7,p6,p5,p1,p0,p7,p0,p0,p0",lemma1_chain_monotone,ph4_c0,4,4,5,False,True,p2,"p0,p1,p2,p3,p5,p6,p7","p1,p3,p5,p6,p7","4,2,4,2"
campaign_r1_task13_random,44,random,adv_bias,8,124,"p6,p6,p6,p0,p7,p0,p0,p6,p4,p9,p0,p8,p0,p6,p0,p4,p4,p1,p6,p8,p0,p1,p2,p4,p2,p6,p5,p1,p5,p0,p9,p6,p1,p0,p0,p0,p8,p2,p4,p2,p0,p3,p5,p8,p0,p0,p5,p0,p0,p2,p8,p0,p4,p9,p4,p4,p4,p6,p4,p8,p3,p0,p3,p4,p4,p4,p7,p2,p4,p2,p4,p4,p4,p4,p4,p4,p0,p0,p6,p6,p4,p0,p5,p3,p6,p4,p6,p8,p2,p7,p3,p6,p5,p0,p0,p5,p0,p9,p8,p4,p8,p0,p2,p2,p5,p7,p9,p0,p5,p0,p0,p5,p0,p1,p0,p7,p6,p5,p1,p0,p7,p0,p0,p0",lemma1_chain_monotone,ph5_c0,5,2,6,False,True,p0,"p0,p2,p3,p4,p7,p8,p9","p2,p3,p4,p7,p8,p9","2,2"
