trace,family,capacity,policy,misses,hit_rate
data/processed/brightkite/trace.jsonl,brightkite,32,evict_value_pairwise_v1,14789.0,0.630275
data/processed/brightkite/trace.jsonl,brightkite,32,lru,14738.0,0.63155
data/processed/brightkite/trace.jsonl,brightkite,32,blind_oracle,26477.0,0.338075
data/processed/brightkite/trace.jsonl,brightkite,32,predictive_marker,15080.0,0.623
data/processed/brightkite/trace.jsonl,brightkite,32,trust_and_doubt,15348.0,0.6163
data/processed/brightkite/trace.jsonl,brightkite,32,robust_ftp_d_marker,14997.0,0.625075
data/processed/brightkite/trace.jsonl,brightkite,32,evict_value_v1,14738.0,0.63155
data/processed/brightkite/trace.jsonl,brightkite,32,evict_value_v1_guarded,14738.0,0.63155
data/processed/brightkite/trace.jsonl,brightkite,32,atlas_v3,14738.0,0.63155
data/processed/brightkite/trace.jsonl,brightkite,32,rest_v1,14738.0,0.63155
data/processed/citibike/trace.jsonl,citibike,32,evict_value_pairwise_v1,15903.0,0.602425
data/processed/citibike/trace.jsonl,citibike,32,lru,15879.0,0.603025
data/processed/citibike/trace.jsonl,citibike,32,blind_oracle,33746.0,0.15635
data/processed/citibike/trace.jsonl,citibike,32,predictive_marker,16028.0,0.5993
data/processed/citibike/trace.jsonl,citibike,32,trust_and_doubt,16543.0,0.586425
data/processed/citibike/trace.jsonl,citibike,32,robust_ftp_d_marker,15971.0,0.600725
data/processed/citibike/trace.jsonl,citibike,32,evict_value_v1,15879.0,0.603025
data/processed/citibike/trace.jsonl,citibike,32,evict_value_v1_guarded,15879.0,0.603025
data/processed/citibike/trace.jsonl,citibike,32,atlas_v3,15879.0,0.603025
data/processed/citibike/trace.jsonl,citibike,32,rest_v1,15879.0,0.603025
