group_type,group_value,decisions,mean_gain_pairwise_minus_pointwise,pairwise_better_rate,pointwise_better_rate,tie_rate,decision_disagreement_rate
all,all,60,-0.06666666666666667,0.0,0.06666666666666667,0.9333333333333333,0.2833333333333333
hard_tie,hard_tie=0,28,-0.14285714285714285,0.0,0.14285714285714285,0.8571428571428571,0.14285714285714285
hard_tie,hard_tie=1,32,0.0,0.0,0.0,1.0,0.40625
pointwise_close,pointwise_close=0,49,-0.08163265306122448,0.0,0.08163265306122448,0.9183673469387755,0.20408163265306123
pointwise_close,pointwise_close=1,11,0.0,0.0,0.0,1.0,0.6363636363636364
family,family=data,60,-0.06666666666666667,0.0,0.06666666666666667,0.9333333333333333,0.2833333333333333
capacity,capacity=2,40,0.0,0.0,0.0,1.0,0.175
capacity,capacity=3,18,-0.2222222222222222,0.0,0.2222222222222222,0.7777777777777778,0.5555555555555556
capacity,capacity=4,2,0.0,0.0,0.0,1.0,0.0
disagreement,decision_disagreement=0,43,0.0,0.0,0.0,1.0,0.0
disagreement,decision_disagreement=1,17,-0.23529411764705882,0.0,0.23529411764705882,0.7647058823529411,1.0
