family,internal_family,capacity,horizon,decision_count,candidate_row_count,all_tied_decision_count,discriminative_decision_count,all_tied_fraction,discriminative_fraction,mean_optimal_set_fraction,random_optimal_probability,mean_random_regret,source
alibaba-block,cloudphysics,32,16,49241,1575712,42818,6423,0.8695599195792124,0.13044008042078759,0.9920562894742186,0.9920562894742186,0.007971634410349098,canonical_h16_decision_view_summary
alibaba-block,cloudphysics,64,16,48511,3104704,37186,11325,0.7665477932839975,0.23345220671600253,0.993381655706953,0.993381655706953,0.00684219816124178,canonical_h16_decision_view_summary
alibaba-block,cloudphysics,128,16,47620,6095360,31512,16108,0.6617387652246955,0.33826123477530445,0.9951712450125998,0.9951712450125998,0.004837122007559849,canonical_h16_decision_view_summary
alibaba-block,cloudphysics,256,16,46701,11955456,26628,20073,0.5701805100533179,0.42981948994668207,0.9967550380345175,0.9967550380345175,0.003263530893342755,canonical_h16_decision_view_summary
metacdn,metacdn,32,16,29348,939136,357,28991,0.012164372359274908,0.9878356276407251,0.9404484547498978,0.9404484547498978,0.06007010699195857,canonical_h16_decision_view_summary
metacdn,metacdn,64,16,28552,1827328,292,28260,0.010226954328943681,0.9897730456710563,0.9670562701386943,0.9670562701386943,0.03306467147660409,canonical_h16_decision_view_summary
metacdn,metacdn,128,16,27683,3543424,235,27448,0.008488964346349746,0.9915110356536503,0.9816592651627353,0.9816592651627353,0.018351176714951414,canonical_h16_decision_view_summary
metacdn,metacdn,256,16,26737,6844672,178,26559,0.006657440999364177,0.9933425590006358,0.9897828559206343,0.9897828559206343,0.010219773862063807,canonical_h16_decision_view_summary
metakv,metakv,32,16,38032,1217024,32968,5064,0.8668489692890198,0.13315103071098022,0.9953410943416071,0.9953410943416071,0.004660549011358856,canonical_h16_decision_view_summary
metakv,metakv,64,16,37977,2430528,32751,5226,0.8623903941859546,0.13760960581404535,0.9976227387629355,0.9976227387629355,0.002377261237064539,canonical_h16_decision_view_summary
metakv,metakv,128,16,37856,4845568,32401,5455,0.8559013102282333,0.14409868977176665,0.9987113997781065,0.9987113997781065,0.0012886002218934912,canonical_h16_decision_view_summary
metakv,metakv,256,16,37486,9596416,31220,6266,0.8328442618577603,0.16715573814223972,0.9991181082604172,0.9991181082604172,0.0008822043562930161,canonical_h16_decision_view_summary
twemcache,twemcache,32,16,37849,1211168,9186,28663,0.24270126027107716,0.7572987397289228,0.9347340748764829,0.9347340748764829,0.06696428571428571,canonical_h16_decision_view_summary
twemcache,twemcache,64,16,34748,2223872,5016,29732,0.1443536318637044,0.8556463681362956,0.9554965393691723,0.9554965393691723,0.045000791412455395,canonical_h16_decision_view_summary
twemcache,twemcache,128,16,31195,3992960,3174,28021,0.10174707485173906,0.8982529251482609,0.9713503265747716,0.9713503265747716,0.02891514064753967,canonical_h16_decision_view_summary
twemcache,twemcache,256,16,28706,7348736,2415,26291,0.08412875357068209,0.9158712464293179,0.9838283753831951,0.9838283753831951,0.01622088478889431,canonical_h16_decision_view_summary
wiki2018,wiki2018,32,16,49968,1598976,49968,0,1.0,0.0,1.0,1.0,0.0,canonical_h16_decision_view_summary
wiki2018,wiki2018,64,16,49936,3195904,49936,0,1.0,0.0,1.0,1.0,0.0,canonical_h16_decision_view_summary
wiki2018,wiki2018,128,16,49872,6383616,49872,0,1.0,0.0,1.0,1.0,0.0,canonical_h16_decision_view_summary
wiki2018,wiki2018,256,16,49744,12734464,49744,0,1.0,0.0,1.0,1.0,0.0,canonical_h16_decision_view_summary
