family,horizon,cell_count,decisions,all_tied_fraction,discriminative_fraction,random_optimal_probability,mean_random_regret
alibaba-block,16,4,192073,0.7192265440743884,0.2807734559256116,0.994305774204339,0.005764511572422985
alibaba-block,32,4,192073,0.6122932426733586,0.38770675732664145,0.9889599063572183,0.011411229389346758
alibaba-block,64,4,192073,0.5275910721444451,0.47240892785555494,0.9831695663888209,0.018295534119839852
alibaba-block,128,4,192073,0.48772081448199384,0.5122791855180062,0.978734790125369,0.023229550906426203
metacdn,16,4,112320,0.009455128205128204,0.9905448717948718,0.9691129765958868,0.031056461171207264
metacdn,32,4,112320,0.0006499287749287749,0.9993500712250712,0.9598936771055911,0.040596482149216524
metacdn,64,4,112320,8.903133903133903e-06,0.9999910968660969,0.9500279614049145,0.05092700403979701
metacdn,128,4,112320,8.903133903133903e-06,0.9999910968660969,0.9420087069867343,0.05934192624866453
metakv,16,4,151351,0.8545698409657022,0.14543015903429773,0.9976920628621548,0.0023084275128674404
metakv,32,4,151351,0.844579817774577,0.15542018222542303,0.9974094261848286,0.0025933354008232518
metakv,64,4,151351,0.834636044690818,0.16536395530918196,0.9970059507783232,0.0030011983733176525
metakv,128,4,151351,0.8296542474116457,0.17034575258835424,0.9965539798630336,0.0034534273807242766
twemcache,16,4,132498,0.14936829235158267,0.8506317076484173,0.9594363275766427,0.04125242102710985
twemcache,32,4,51624,0.09778397644506431,0.9022160235549357,0.9373399636070432,0.06944588212362467
twemcache,64,4,51624,0.0533085386641872,0.9466914613358128,0.8959410836045251,0.13052295807182707
twemcache,128,4,51624,0.05071284673795134,0.9492871532620487,0.8312249389818689,0.27684358897993183
wiki2018,16,4,199520,1.0,0.0,1.0,0.0
wiki2018,32,4,199520,1.0,0.0,1.0,0.0
wiki2018,64,4,199520,1.0,0.0,1.0,0.0
wiki2018,128,4,199520,1.0,0.0,1.0,0.0
