experiment_protocol_version,protocol_id,condition,fraction,held_out_family,fold_id,capacity,trace,trace_sha256,history_start,history_end,score_start,score_end,history_requests,scored_requests,hits,misses,miss_ratio,train_decision_count,train_candidate_row_count,train_pair_count,validation_decision_count,validation_candidate_row_count,validation_top1,validation_mean_regret,validation_pairwise_accuracy,validation_mae,validation_rmse,seed,scalar_model_family,pairwise_label_source,model_path,model_sha256,train_runtime_seconds,eval_runtime_seconds,status,failure_reason
reviewer_fairness_v1,supervision_objective_learning_curve_v1,eviction_loss_scalar,0.01,brightkite,cross_family_v1_brightkite,32,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,0,10000,10000,50000,10000,40000,23063,16937,0.423425,5984,438720,0,559,42528,0.005367,0.014311,,1.442192,1.764867,0,ridge,,models/supervision_objective_learning_curve_v1/brightkite/fraction_0.01/eviction_loss_scalar.pkl,d41e7f20d6d0e86ee8b25a770cad57d0cd6c66996e5b2f31af6c2ec32ed80493,1.2913,20.46,ok,
reviewer_fairness_v1,supervision_objective_learning_curve_v1,eviction_loss_scalar,0.01,brightkite,cross_family_v1_brightkite,64,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,0,10000,10000,50000,10000,40000,23602,16398,0.40995,5984,438720,0,559,42528,0.005367,0.014311,,1.442192,1.764867,0,ridge,,models/supervision_objective_learning_curve_v1/brightkite/fraction_0.01/eviction_loss_scalar.pkl,d41e7f20d6d0e86ee8b25a770cad57d0cd6c66996e5b2f31af6c2ec32ed80493,1.2913,76.4655,ok,
reviewer_fairness_v1,supervision_objective_learning_curve_v1,eviction_loss_scalar,0.01,brightkite,cross_family_v1_brightkite,128,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,0,10000,10000,50000,10000,40000,23813,16187,0.404675,5984,438720,0,559,42528,0.005367,0.014311,,1.442192,1.764867,0,ridge,,models/supervision_objective_learning_curve_v1/brightkite/fraction_0.01/eviction_loss_scalar.pkl,d41e7f20d6d0e86ee8b25a770cad57d0cd6c66996e5b2f31af6c2ec32ed80493,1.2913,370.7232,ok,
reviewer_fairness_v1,supervision_objective_learning_curve_v1,eviction_loss_pairwise,0.01,brightkite,cross_family_v1_brightkite,32,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,0,10000,10000,50000,10000,40000,14700,25300,0.6325,5984,438720,411,559,42528,0.0,0.125224,0.895522,,,0,,regret,models/supervision_objective_learning_curve_v1/brightkite/fraction_0.01/eviction_loss_pairwise.pkl,66329d357ea855aa6e75b73927cd4859d28436974e889bbbc903e2f726d24b92,0.3731,30.0651,ok,
reviewer_fairness_v1,supervision_objective_learning_curve_v1,eviction_loss_pairwise,0.01,brightkite,cross_family_v1_brightkite,64,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,0,10000,10000,50000,10000,40000,14713,25287,0.632175,5984,438720,411,559,42528,0.0,0.125224,0.895522,,,0,,regret,models/supervision_objective_learning_curve_v1/brightkite/fraction_0.01/eviction_loss_pairwise.pkl,66329d357ea855aa6e75b73927cd4859d28436974e889bbbc903e2f726d24b92,0.3731,117.8534,ok,
reviewer_fairness_v1,supervision_objective_learning_curve_v1,eviction_loss_pairwise,0.01,brightkite,cross_family_v1_brightkite,128,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,0,10000,10000,50000,10000,40000,14739,25261,0.631525,5984,438720,411,559,42528,0.0,0.125224,0.895522,,,0,,regret,models/supervision_objective_learning_curve_v1/brightkite/fraction_0.01/eviction_loss_pairwise.pkl,66329d357ea855aa6e75b73927cd4859d28436974e889bbbc903e2f726d24b92,0.3731,583.7396,ok,
reviewer_fairness_v1,supervision_objective_learning_curve_v1,eviction_loss_scalar,0.02,brightkite,cross_family_v1_brightkite,32,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,0,10000,10000,50000,10000,40000,23292,16708,0.4177,11968,880896,0,559,42528,0.005367,0.014311,,1.429444,1.752514,0,ridge,,models/supervision_objective_learning_curve_v1/brightkite/fraction_0.02/eviction_loss_scalar.pkl,1d0d8ea32b7795ef96f0522aeb8fb61ec822c019525b017bdfea1b390204143a,2.4611,20.3142,ok,
reviewer_fairness_v1,supervision_objective_learning_curve_v1,eviction_loss_scalar,0.02,brightkite,cross_family_v1_brightkite,64,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,0,10000,10000,50000,10000,40000,23776,16224,0.4056,11968,880896,0,559,42528,0.005367,0.014311,,1.429444,1.752514,0,ridge,,models/supervision_objective_learning_curve_v1/brightkite/fraction_0.02/eviction_loss_scalar.pkl,1d0d8ea32b7795ef96f0522aeb8fb61ec822c019525b017bdfea1b390204143a,2.4611,75.5251,ok,
reviewer_fairness_v1,supervision_objective_learning_curve_v1,eviction_loss_scalar,0.02,brightkite,cross_family_v1_brightkite,128,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,0,10000,10000,50000,10000,40000,23943,16057,0.401425,11968,880896,0,559,42528,0.005367,0.014311,,1.429444,1.752514,0,ridge,,models/supervision_objective_learning_curve_v1/brightkite/fraction_0.02/eviction_loss_scalar.pkl,1d0d8ea32b7795ef96f0522aeb8fb61ec822c019525b017bdfea1b390204143a,2.4611,368.8198,ok,
reviewer_fairness_v1,supervision_objective_learning_curve_v1,eviction_loss_pairwise,0.02,brightkite,cross_family_v1_brightkite,32,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,0,10000,10000,50000,10000,40000,14700,25300,0.6325,11968,880896,856,559,42528,0.0,0.121646,0.88806,,,0,,regret,models/supervision_objective_learning_curve_v1/brightkite/fraction_0.02/eviction_loss_pairwise.pkl,37eea582cb8a8c827bca2def29e2030c8742730aa4793b3ee0aa6fa01ee5508a,0.7185,29.9942,ok,
